model,heldout,feature,importance
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5678,pp_nonlocal24_high_per_res,0.22129594774228875
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5loop678,pr_cp_sum,0.03847726932680331
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5loop678,pr_cp_per_nt,0.03562561358845503
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5loop678,pr_top20_mean,0.017598580638494267
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5loop678,pr_rna_max_mean,0.049324312783674336
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5loop678,pr_rna_max_min,0.002768615229820361
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5loop678,pr_rna_coverage_05,0.02521770181526126
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5loop678,pr_protein_coverage_05,0.019726808552359507
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5loop678,pr_high_contacts_per_nt,0.007997876172224052
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5loop678,pp_nonlocal4_per_res,0.06111704254301931
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5loop678,pp_nonlocal4_high_per_res,0.20650702450718006
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5loop678,pp_nonlocal12_per_res,0.08131153737249922
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5loop678,pp_nonlocal12_high_per_res,0.1847815706829618
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5loop678,pp_nonlocal24_per_res,0.05068616165317282
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5loop678,pp_nonlocal24_high_per_res,0.21885988513407473
CP_summary14_RF,puf12_r123_r567_r6r7_r5678,pr_cp_sum,0.06798624975973895
CP_summary14_RF,puf12_r123_r567_r6r7_r5678,pr_cp_per_nt,0.06042926333524801
CP_summary14_RF,puf12_r123_r567_r6r7_r5678,pr_top20_mean,0.020683260324504626
CP_summary14_RF,puf12_r123_r567_r6r7_r5678,pr_rna_max_mean,0.032884686068258055
CP_summary14_RF,puf12_r123_r567_r6r7_r5678,pr_rna_max_min,0.0009735947918539521
CP_summary14_RF,puf12_r123_r567_r6r7_r5678,pr_rna_coverage_05,0.02365418193140175
CP_summary14_RF,puf12_r123_r567_r6r7_r5678,pr_protein_coverage_05,0.019650933203883204
CP_summary14_RF,puf12_r123_r567_r6r7_r5678,pr_high_contacts_per_nt,0.013247077482585136
CP_summary14_RF,puf12_r123_r567_r6r7_r5678,pp_nonlocal4_per_res,0.033805360849618424
CP_summary14_RF,puf12_r123_r567_r6r7_r5678,pp_nonlocal4_high_per_res,0.16042056834403878
CP_summary14_RF,puf12_r123_r567_r6r7_r5678,pp_nonlocal12_per_res,0.10754003362286439
CP_summary14_RF,puf12_r123_r567_r6r7_r5678,pp_nonlocal12_high_per_res,0.15120753958612776
CP_summary14_RF,puf12_r123_r567_r6r7_r5678,pp_nonlocal24_per_res,0.07625051334752139
CP_summary14_RF,puf12_r123_r567_r6r7_r5678,pp_nonlocal24_high_per_res,0.23126673735235556
CP_summary14_RF,puf_12_loopr4loopr4,pr_cp_sum,0.045026612978359686
CP_summary14_RF,puf_12_loopr4loopr4,pr_cp_per_nt,0.03323454505451001
CP_summary14_RF,puf_12_loopr4loopr4,pr_top20_mean,0.02314390123717615
CP_summary14_RF,puf_12_loopr4loopr4,pr_rna_max_mean,0.05323737101919399
CP_summary14_RF,puf_12_loopr4loopr4,pr_rna_max_min,0.006470692900845791
CP_summary14_RF,puf_12_loopr4loopr4,pr_rna_coverage_05,0.03284666949393001
CP_summary14_RF,puf_12_loopr4loopr4,pr_protein_coverage_05,0.019997349689874096
CP_summary14_RF,puf_12_loopr4loopr4,pr_high_contacts_per_nt,0.012684848574217625
CP_summary14_RF,puf_12_loopr4loopr4,pp_nonlocal4_per_res,0.045922622356708645
CP_summary14_RF,puf_12_loopr4loopr4,pp_nonlocal4_high_per_res,0.19794134311172956
CP_summary14_RF,puf_12_loopr4loopr4,pp_nonlocal12_per_res,0.0760887838392064
CP_summary14_RF,puf_12_loopr4loopr4,pp_nonlocal12_high_per_res,0.18522799090858774
CP_summary14_RF,puf_12_loopr4loopr4,pp_nonlocal24_per_res,0.05571687057292638
CP_summary14_RF,puf_12_loopr4loopr4,pp_nonlocal24_high_per_res,0.21246039826273394
CP_summary14_RF,puf_12_loopr4r4,pr_cp_sum,0.045642109248909206
