C388_threshold,equivalent_cutoff_lower_exclusive,equivalent_cutoff_upper_inclusive,n_work,n_nonwork,model,validation,objective,AUC,majority_accuracy,score_threshold,accuracy,balanced_accuracy,TP,TN,FP,FN,distance
0.35000000000000003,0.348885,0.37332,24,7,CP_Structure9_RF,LOCO,balanced_accuracy,0.6488095238095238,0.7741935483870968,0.588886445929059,0.7096774193548387,0.6607142857142857,18.0,4.0,3.0,6.0,0.08888644592905903
0.35000000000000003,0.348885,0.37332,24,7,CP_Structure9_RF,mutation_group_out,accuracy,0.6488095238095238,0.7741935483870968,0.19531997797961587,0.8064516129032258,0.5714285714285714,24.0,1.0,6.0,0.0,0.30468002202038413
0.35000000000000003,0.348885,0.37332,24,7,CP_Structure9_RF,mutation_group_out,balanced_accuracy,0.6488095238095238,0.7741935483870968,0.771135149425259,0.5806451612903226,0.6785714285714286,12.0,6.0,1.0,12.0,0.27113514942525896
0.4,0.37332,0.44306,23,8,CP3_LR,LOCO,accuracy,0.717391304347826,0.7419354838709677,0.45034852051918123,0.8064516129032258,0.7472826086956521,20.0,5.0,3.0,3.0,0.04965147948081877
0.4,0.37332,0.44306,23,8,CP3_LR,LOCO,balanced_accuracy,0.717391304347826,0.7419354838709677,0.4776990699242281,0.7741935483870968,0.7663043478260869,18.0,6.0,2.0,5.0,0.022300930075771885
0.4,0.37332,0.44306,23,8,CP3_LR,mutation_group_out,accuracy,0.7065217391304348,0.7419354838709677,0.4625136964862562,0.7741935483870968,0.6847826086956521,20.0,4.0,4.0,3.0,0.037486303513743824
0.4,0.37332,0.44306,23,8,CP3_LR,mutation_group_out,balanced_accuracy,0.7065217391304348,0.7419354838709677,0.5150270910402508,0.7096774193548387,0.7635869565217391,15.0,7.0,1.0,8.0,0.015027091040250795
0.4,0.37332,0.44306,23,8,CP_Structure9_LR,LOCO,accuracy,0.8532608695652174,0.7419354838709677,0.3764193195422854,0.8387096774193549,0.7282608695652174,22.0,4.0,4.0,1.0,0.12358068045771459
0.4,0.37332,0.44306,23,8,CP_Structure9_LR,LOCO,balanced_accuracy,0.8532608695652174,0.7419354838709677,0.4793164008031776,0.7419354838709677,0.7853260869565217,16.0,7.0,1.0,7.0,0.02068359919682239
0.4,0.37332,0.44306,23,8,CP_Structure9_LR,mutation_group_out,accuracy,0.8478260869565217,0.7419354838709677,0.44040209529387775,0.8387096774193549,0.8097826086956521,20.0,6.0,2.0,3.0,0.05959790470612225
0.4,0.37332,0.44306,23,8,CP_Structure9_LR,mutation_group_out,balanced_accuracy,0.8478260869565217,0.7419354838709677,0.45853337547934825,0.8064516129032258,0.8288043478260869,18.0,7.0,1.0,5.0,0.04146662452065175
0.4,0.37332,0.44306,23,8,CP3_RF,LOCO,accuracy,0.5489130434782609,0.7419354838709677,0.2475942223032692,0.7419354838709677,0.5407608695652174,22.0,1.0,7.0,1.0,0.2524057776967308
0.4,0.37332,0.44306,23,8,CP3_RF,LOCO,balanced_accuracy,0.5489130434782609,0.7419354838709677,0.575844907285722,0.7096774193548387,0.6820652173913043,17.0,5.0,3.0,6.0,0.07584490728572202
0.4,0.37332,0.44306,23,8,CP3_RF,mutation_group_out,accuracy,0.6657608695652173,0.7419354838709677,0.597857749667797,0.7419354838709677,0.7445652173913043,17.0,6.0,2.0,6.0,0.09785774966779703
0.4,0.37332,0.44306,23,8,CP3_RF,mutation_group_out,balanced_accuracy,0.6657608695652173,0.7419354838709677,0.597857749667797,0.7419354838709677,0.7445652173913043,17.0,6.0,2.0,6.0,0.09785774966779703
0.4,0.37332,0.44306,23,8,CP_Structure9_RF,LOCO,accuracy,0.6739130434782609,0.7419354838709677,0.56689821480028,0.7741935483870968,0.7255434782608696,19.0,5.0,3.0,4.0,0.06689821480028002
0.4,0.37332,0.44306,23,8,CP_Structure9_RF,LOCO,balanced_accuracy,0.6739130434782609,0.7419354838709677,0.56689821480028,0.7741935483870968,0.7255434782608696,19.0,5.0,3.0,4.0,0.06689821480028002
0.4,0.37332,0.44306,23,8,CP_Structure9_RF,mutation_group_out,accuracy,0.717391304347826,0.7419354838709677,0.24498601097231898,0.7741935483870968,0.5625,23.0,1.0,7.0,0.0,0.255013989027681
0.4,0.37332,0.44306,23,8,CP_Structure9_RF,mutation_group_out,balanced_accuracy,0.717391304347826,0.7419354838709677,0.7591110414402752,0.6451612903225806,0.7608695652173914,12.0,8.0,0.0,11.0,0.2591110414402752
0.45,0.44306,0.518925,22,9,CP3_LR,LOCO,accuracy,0.7222222222222223,0.7096774193548387,0.4900991551815947,0.7741935483870968,0.7752525252525253,17.0,7.0,2.0,5.0,0.009900844818405308
0.45,0.44306,0.518925,22,9,CP3_LR,LOCO,balanced_accuracy,0.7222222222222223,0.7096774193548387,0.4900991551815947,0.7741935483870968,0.7752525252525253,17.0,7.0,2.0,5.0,0.009900844818405308
0.45,0.44306,0.518925,22,9,CP3_LR,mutation_group_out,accuracy,0.696969696969697,0.7096774193548387,0.510423857014471,0.7419354838709677,0.7853535353535352,15.0,8.0,1.0,7.0,0.010423857014471016
0.45,0.44306,0.518925,22,9,CP3_LR,mutation_group_out,balanced_accuracy,0.696969696969697,0.7096774193548387,0.510423857014471,0.7419354838709677,0.7853535353535352,15.0,8.0,1.0,7.0,0.010423857014471016
0.45,0.44306,0.518925,22,9,CP_Structure9_LR,LOCO,accuracy,0.7777777777777778,0.7096774193548387,0.3825353790028674,0.8064516129032258,0.6994949494949495,21.0,4.0,5.0,1.0,0.11746462099713262
0.45,0.44306,0.518925,22,9,CP_Structure9_LR,LOCO,balanced_accuracy,0.7777777777777778,0.7096774193548387,0.44933110860209496,0.7419354838709677,0.7196969696969697,17.0,6.0,3.0,5.0,0.050668891397905036
0.45,0.44306,0.518925,22,9,CP_Structure9_LR,mutation_group_out,accuracy,0.797979797979798,0.7096774193548387,0.4301748023890396,0.7741935483870968,0.7095959595959596,19.0,5.0,4.0,3.0,0.0698251976109604
0.45,0.44306,0.518925,22,9,CP_Structure9_LR,mutation_group_out,balanced_accuracy,0.797979797979798,0.7096774193548387,0.5661915841676888,0.6774193548387096,0.7727272727272727,12.0,9.0,0.0,10.0,0.06619158416768878
0.45,0.44306,0.518925,22,9,CP3_RF,LOCO,accuracy,0.6313131313131313,0.7096774193548387,0.5619149415099608,0.7419354838709677,0.7525252525252526,16.0,7.0,2.0,6.0,0.0619149415099608
0.45,0.44306,0.518925,22,9,CP3_RF,LOCO,balanced_accuracy,0.6313131313131313,0.7096774193548387,0.5619149415099608,0.7419354838709677,0.7525252525252526,16.0,7.0,2.0,6.0,0.0619149415099608
