site,label_threshold_pp,validation,family,model,policy,n_unique,n_predictions,BA,accuracy,precision,recall,specificity,TP,TN,FP,FN,AUC,AP
C871,-10,Position_group_out,Sequence_Local,RF_depth1,fixed_0.5,22,22,0.43333333333333335,0.5909090909090909,0.65,0.8666666666666667,0.0,13.0,0.0,7.0,2.0,0.34761904761904766,0.6434734197118097
C871,-10,Position_group_out,Sequence_Local,RF_depth1,training_only_threshold,22,22,0.4095238095238095,0.45454545454545453,0.6153846153846154,0.5333333333333333,0.2857142857142857,8.0,2.0,5.0,7.0,0.34761904761904766,0.6434734197118097
C871,-10,Position_group_out,Sequence_Local,RF_depth2,fixed_0.5,22,22,0.4666666666666667,0.6363636363636364,0.6666666666666666,0.9333333333333333,0.0,14.0,0.0,7.0,1.0,0.3380952380952381,0.6101400863784764
C871,-10,Position_group_out,Sequence_Local,RF_depth2,training_only_threshold,22,22,0.4095238095238095,0.45454545454545453,0.6153846153846154,0.5333333333333333,0.2857142857142857,8.0,2.0,5.0,7.0,0.3380952380952381,0.6101400863784764
C871,-10,Position_group_out,Sequence_Local,SVM_RBF,fixed_0.5,22,22,0.4,0.5454545454545454,0.631578947368421,0.8,0.0,12.0,0.0,7.0,3.0,0.49047619047619045,0.6842192602718917
C871,-10,Position_group_out,Sequence_Local,SVM_RBF,training_only_threshold,22,22,0.37142857142857144,0.45454545454545453,0.6,0.6,0.14285714285714285,9.0,1.0,6.0,6.0,0.49047619047619045,0.6842192602718917
C871,-10,Position_group_out,Sequence_Local,nested_model_selection,training_only_threshold,22,22,0.37142857142857144,0.45454545454545453,0.6,0.6,0.14285714285714285,9.0,1.0,6.0,6.0,0.22857142857142856,0.5562779423305738
C871,-10,Position_group_out,Total_CP,ExtraTrees_depth2,fixed_0.5,22,22,0.6142857142857143,0.6818181818181818,0.75,0.8,0.42857142857142855,12.0,3.0,4.0,3.0,0.5047619047619047,0.654197730374201
C871,-10,Position_group_out,Total_CP,ExtraTrees_depth2,training_only_threshold,22,22,0.6142857142857143,0.6818181818181818,0.75,0.8,0.42857142857142855,12.0,3.0,4.0,3.0,0.5047619047619047,0.654197730374201
C871,-10,Position_group_out,Total_CP,GaussianNB,fixed_0.5,22,22,0.4,0.5454545454545454,0.631578947368421,0.8,0.0,12.0,0.0,7.0,3.0,0.26666666666666666,0.6067044548159098
